N,X,Y,Z,Time,Jitter,Time Calculated,Sender
108,-1.024,-0.002,0.002,1653088422.941623,0.001145029067991743,1653088422.9404778,20.0
109,-1.024,-0.002,0.001,1653088423.165294,0.024815988540648704,1653088423.140478,20.0
110,-1.024,-0.002,0.001,1653088423.3453,0.0048220157623291016,1653088423.340478,20.0
111,-1.025,-0.002,0.002,1653088423.526317,-0.014161062240603428,1653088423.540478,20.0
112,-1.024,-0.002,0.002,1653088423.728014,-0.012463951110841975,1653088423.740478,20.0
113,-1.024,-0.002,0.001,1653088423.929312,-0.011165952682496538,1653088423.9404778,20.0
114,-1.024,-0.002,0.002,1653088424.131811,-0.00866703987121653,1653088424.140478,20.0
115,-1.024,-0.002,0.002,1653088424.336819,-0.0036590099334716797,1653088424.340478,20.0
116,-1.025,-0.002,0.001,1653088424.538749,-0.0017289638519315531,1653088424.540478,20.0
117,-1.024,-0.002,0.001,1653088424.741213,0.0007351398467996262,1653088424.740478,20.0
118,-1.024,-0.002,0.001,1653088424.94363,0.003152036666868696,1653088424.9404778,20.0
119,-1.024,-0.002,0.002,1653088425.146668,0.006190013885497336,1653088425.140478,20.0
120,-1.024,-0.002,0.002,1653088425.326683,-0.013794898986816406,1653088425.340478,20.0
121,-1.0230000000000001,-0.002,0.002,1653088425.526478,-0.013999891281130772,1653088425.540478,20.0
122,-1.0230000000000001,-0.002,0.002,1653088425.756488,0.016010141372678532,1653088425.740478,20.0
123,-1.025,-0.002,0.002,1653088425.933984,-0.0064939022064223195,1653088425.9404778,20.0
124,-1.024,-0.002,0.002,1653088426.136511,-0.003966856002808328,1653088426.140478,20.0
125,-1.024,-0.002,0.002,1653088426.338983,-0.0014948844909667969,1653088426.340478,20.0
126,-1.024,-0.002,0.002,1653088426.541482,0.0010040283203096578,1653088426.540478,20.0
127,-1.024,-0.002,0.002,1653088426.743195,0.0027171134948709152,1653088426.740478,20.0
128,-1.024,-0.002,0.002,1653088426.946661,0.00618305206298686,1653088426.9404778,20.0
129,-1.025,-0.002,0.001,1653088427.126027,-0.014450836181641336,1653088427.140478,20.0
130,-1.025,-0.002,0.002,1653088427.328779,-0.01169896125793457,1653088427.340478,20.0
131,-1.025,-0.002,0.001,1653088427.531277,-0.009201002120974522,1653088427.540478,20.0
132,-1.025,-0.002,0.002,1653088427.732826,-0.0076519489288351394,1653088427.740478,20.0
133,-1.024,-0.002,0.001,1653088427.935327,-0.005150890350343218,1653088427.9404778,20.0
134,-1.024,-0.002,0.002,1653088428.137187,-0.003290939331055398,1653088428.140478,20.0
135,-1.024,-0.002,0.002,1653088428.342051,0.0015730857849121094,1653088428.340478,20.0
136,-1.024,-0.002,0.002,1653088428.542495,0.002017068862912197,1653088428.540478,20.0
137,-1.024,-0.002,0.001,1653088428.745527,0.005049085617063298,1653088428.740478,20.0
138,-1.024,-0.003,0.002,1653088428.926199,-0.01427898406982564,1653088428.9404778,20.0
139,-1.024,-0.003,0.001,1653088429.127386,-0.01309185028076243,1653088429.140478,20.0
140,-1.025,-0.002,0.001,1653088429.331162,-0.009315967559814453,1653088429.340478,20.0
141,-1.0230000000000001,-0.002,0.002,1653088429.533728,-0.006750059127810459,1653088429.540478,20.0
142,-1.024,-0.002,0.001,1653088429.736221,-0.0042568683624288894,1653088429.740478,20.0
143,-1.025,-0.002,0.002,1653088429.937228,-0.00324997901916646,1653088429.9404778,20.0
144,-1.0230000000000001,-0.002,0.002,1653088430.139255,-0.001222896575928445,1653088430.140478,20.0
145,-1.024,-0.002,0.001,1653088430.344336,0.0038580894470214844,1653088430.340478,20.0
146,-1.024,-0.002,0.002,1653088430.544333,0.003855037689206142,1653088430.540478,20.0
147,-1.0230000000000001,-0.002,0.002,1653088430.724329,-0.016148948669435725,1653088430.740478,20.0
148,-1.024,-0.002,0.002,1653088430.926752,-0.013725852966310015,1653088430.9404778,20.0
149,-1.024,-0.002,0.002,1653088431.130543,-0.00993494987487864,1653088431.140478,20.0
150,-1.024,-0.002,0.001,1653088431.33286,-0.007617950439453125,1653088431.340478,20.0
151,-1.0230000000000001,-0.002,0.002,1653088431.535798,-0.004679870605471592,1653088431.540478,20.0
152,-1.024,-0.002,0.001,1653088431.738077,-0.002401018142702327,1653088431.740478,20.0
153,-1.024,-0.002,0.002,1653088431.939746,-0.0007320404052748586,1653088431.9404778,20.0
